"numenq","sch_lev","farm_f","trad_f","exec_f","tech_f","whc_f","blc_f","noocc_f","farm_m","trad_m","exec_m","tech_m","whc_m","blc_m","noocc_m","orfr","oroecd","orother","foreign","late6","urban","male","age98","date_first","full_first","wage_first","employed_36","full_36","wage_36","experience_36","employed_60","full_60","wage_60","experience_60"
"d02643",4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,24,13,1,854,1,1,904,23,1,1,904,47
"d02676",7,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,26,7,1,1170,1,1,1444,25,1,1,1554,49
"d02705",6,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,29,21,0,762,1,1,762,15,1,1,762,39
"d02721",7,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,22,19,1,810,1,1,1372,7,0,,,14
"d02756",7,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,24,10,1,915,0,,,25,1,1,2464,48
"d02760",7,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,23,7,,,1,1,1333,29,1,1,1372,53
"d02774",7,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,28,7,1,1326,1,1,1524,25,1,1,1524,49
"d02790",6,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,22,6,,,1,1,1143,8,1,1,1143,32
"d02793",6,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,32,9,0,1616,1,1,1616,27,1,1,1616,51
"d02796",5,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,27,7,1,1372,1,1,2287,29,1,1,2287,53
"d02804",7,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,23,7,1,1567,1,1,3300,29,1,1,3300,53
"d02811",6,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,27,9,1,610,0,,,23,0,,,32
"d02818",3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,20,12,1,1220,1,1,1658,24,1,1,1658,48
"d02840",6,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,25,17,1,854,1,1,896,19,1,1,1574,43
"d02843",8,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,,0,29,8,0,,1,0,718,21,1,0,718,45
"d02845",4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,23,10,0,,1,0,,26,1,0,,50
"d02847",7,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,24,23,0,,1,1,896,13,1,1,896,37
"d02873",5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,20,7,1,762,1,1,915,29,1,1,1829,46
"d02903",7,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,23,6,,,1,1,1261,5,1,1,1585,29
"d02945",6,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,23,7,,,1,1,1160,29,1,1,1160,53
"d02949",6,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,26,9,1,884,1,1,1098,16,1,1,1098,40
"d02961",3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,21,13,1,809,1,1,787,23,1,1,787,47
"d02964",7,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,26,14,1,2104,1,1,1418,22,1,1,1456,46
"d02966",5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,22,7,1,1154,1,1,1450,28,1,1,1450,52
"d02971",5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,31,13,1,1067,1,0,1067,23,1,0,1067,47
"d02972",3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,23,13,1,871,1,1,1024,20,1,1,1024,44
"d02989",6,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,22,23,1,869,1,1,945,13,1,1,945,37
"d02998",4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,25,2,1,854,1,1,915,34,1,1,915,58
"d03000",6,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,22,7,1,963,0,,,23,1,0,,25
"d03038",4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,26,7,0,,0,,,16,0,,,16
"d03041",7,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,23,7,1,869,1,1,869,29,1,1,2250,47
"d03069",6,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,25,23,1,991,1,1,1019,13,1,1,1019,37
"d03084",5,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,24,35,0,,1,0,,1,1,1,962,22
"d03093",5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,23,11,0,1400,1,1,1400,25,1,1,1400,49
"d03130",7,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,25,7,1,915,1,1,1524,29,1,1,1524,53
"d03138",7,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,25,13,0,,1,0,,23,1,0,,47
"d03139",7,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,24,9,0,,1,1,1500,25,1,1,1500,49
"d03150",4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,23,8,1,810,1,1,915,28,1,1,1143,52
"d03151",4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,20,9,1,1220,1,1,3049,14,0,,,17
"d03158",4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,23,7,0,,1,1,1677,20,1,1,1677,44
"d03175",6,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,25,10,1,1251,1,1,1251,17,1,1,1596,38
"d03178",6,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,24,9,1,1113,1,1,1524,16,1,1,1244,40
"d03180",6,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,26,9,1,1220,1,1,1448,27,1,1,1448,51
"d03183",7,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,23,9,1,1372,1,1,1583,27,1,1,1583,51
"d03210",4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,21,7,1,992,0,,,24,1,1,1280,25
"d03236",7,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,22,10,1,1403,1,1,1868,26,1,1,1868,50
"d03244",4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,21,7,,,0,,,27,1,1,2024,46
"d03245",7,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,26,8,1,949,1,1,1477,28,1,1,1477,52
"d03258",7,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,22,7,1,1220,1,1,1526,29,1,1,1526,53
"d03262",6,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,26,7,1,1226,1,1,1403,29,1,1,1502,53
"d03305",6,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,24,6,1,991,1,1,838,27,1,1,1592,49
"d03310",6,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,29,47,1,1005,0,,,0,1,1,1171,13
"d03317",7,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,25,9,1,1189,1,1,2871,27,1,1,2871,51
"d03318",6,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,21,8,,,0,,,13,1,1,1651,20
"d03326",6,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,28,11,1,1437,1,1,1651,25,1,1,1651,49
"d03354",5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,21,9,1,1220,1,1,1571,27,1,1,1571,51
"d03359",4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,21,6,,,0,,,19,1,0,,38
"d03371",6,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,28,43,1,995,0,,,0,0,,,7
"d03375",6,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,26,10,0,,1,1,4700,25,1,1,4700,49
"d03376",6,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,24,3,1,946,1,1,1583,33,1,1,1583,57
"d03406",7,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,23,11,1,1524,0,,,23,1,1,2560,45
"d03418",7,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,24,11,1,686,1,1,1372,25,1,1,1372,49
"d03427",6,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,24,23,0,,0,,,11,1,1,1156,34
"d03429",5,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,24,7,,,1,1,915,19,1,1,915,43
"d03430",5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,22,7,1,991,1,1,1405,11,1,1,1405,35
"d03433",6,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,29,13,1,1189,1,1,3500,23,1,1,3500,47
"d03436",6,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,23,4,1,1067,1,1,1542,32,1,1,1542,56
"d03450",7,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,22,9,1,1265,1,1,1829,27,1,1,1829,51
"d03455",6,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,25,4,1,871,1,1,1372,30,1,1,1449,54
"d03467",7,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,27,30,1,1448,1,1,2183,6,1,1,2183,30
"d03481",6,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,26,7,1,1188,1,1,1817,29,1,1,1817,53
"d03484",6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,26,24,1,1448,1,1,1601,12,0,,,24
"d03505",7,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,24,9,1,1220,1,1,1524,25,1,1,1524,49
"d03520",5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,25,14,1,1296,1,1,1269,20,0,,,26
"d03543",4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,19,13,0,,1,1,1169,18,1,1,1143,29
"d03550",5,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,34,10,0,,1,0,,26,1,0,,50
"d03566",6,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,26,6,1,779,1,1,858,29,1,1,858,53
"d03567",6,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,24,6,,,0,,,23,1,1,1372,36
"d03572",7,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,23,9,0,,1,1,1400,16,1,1,1400,40
"d03574",6,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,25,15,1,823,1,1,930,21,1,1,930,45
"d03581",6,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,23,21,1,991,1,1,1500,15,1,1,1500,39
"d03603",6,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,28,21,0,,1,1,1220,13,1,1,1204,30
"d03662",4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,22,20,0,,1,1,1035,16,1,1,1035,40
"d03670",4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,28,7,,,1,0,,28,1,0,,52
"d03680",4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,20,7,,,1,1,960,29,1,1,1174,43
"d03692",4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,21,7,,,0,,,6,1,1,787,11
"d03696",5,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,29,10,1,915,1,1,1074,26,1,1,1589,50
"d03699",6,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,24,31,1,1084,1,1,1275,3,1,1,1275,27
"d03709",6,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,24,9,1,1220,1,1,1505,27,1,1,1505,51
